ID,VS.5mm.L_GainAntGrCtrlAnt,VS.5mm.L_SmGainAntGrCtrlAnt,VS.5mm.L_LgGainAntGrCtrlAnt,VS.5mm.R_GainAntGrCtrlAnt,VS.5mm.R_SmGainAntGrCtrlAnt,VS.5mm.R_LgGainAntGrCtrlAnt,VS.10mm.L_GainAntGrCtrlAnt,VS.10mm.L_SmGainAntGrCtrlAnt,VS.10mm.L_LgGainAntGrCtrlAnt,VS.10mm.R_GainAntGrCtrlAnt,VS.10mm.R_SmGainAntGrCtrlAnt,VS.10mm.R_LgGainAntGrCtrlAnt
DMHDS0947,0.171197,0.257477,0.084917,-0.07079,0.076422,-0.218002,0.197586,0.257104,0.138068,0.06092,0.194534,-0.072695
DMHDS1198,0.132436,0.038156,0.226716,-0.09595,-0.158268,-0.033632,0.069386,0.066979,0.071792,-0.026926,-0.092084,0.038233
DMHDS1163,0.033669,0.09503,-0.027693,0.375169,0.389217,0.361122,0.052846,0.180339,-0.074647,0.263011,0.357844,0.168177
DMHDS1065,-0.053672,-0.133178,0.025834,0.003453,-0.050844,0.057751,-0.128812,-0.181485,-0.07614,0.001143,0.019507,-0.017222
DMHDS0704,-0.097682,-0.091793,-0.103571,0.026205,-0.012643,0.065053,-0.029855,-0.083438,0.023727,0.034514,-0.042646,0.111674
DMHDS1215,0.486833,0.141538,0.832127,0.244074,-0.030491,0.51864,0.281337,0.09447,0.468203,0.34735,0.125826,0.568874
DMHDS0455,0.077089,-0.053986,0.208165,0.057854,0.005829,0.109879,0.018062,-0.084059,0.120183,0.049914,0.053085,0.046742
DMHDS1139,0.082163,0.276235,-0.111909,0.010782,0.107221,-0.085656,0.092155,0.268798,-0.084489,-0.002808,0.146187,-0.151803
DMHDS0879,-0.200337,-0.203481,-0.197194,-0.094926,-0.204261,0.014408,0.012932,0.035155,-0.009291,-0.031832,-0.129896,0.066232
DMHDS0502,-0.113253,-0.113829,-0.112677,-0.08797,-0.008742,-0.167198,-0.162609,-0.157727,-0.167491,-0.056921,0.015715,-0.129558
